term,score
credit,367.3891518838275
account,367.3411094780226
report,269.03191740063085
information,175.78233235730846
payment,171.04549345648502
reporting,138.93062776438154
company,134.6799153427969
debt,133.67351187530284
day,131.72751373572893
time,123.96620519229678
letter,119.41766866326978
item,117.72116207556104
card,116.8088701428822
loan,114.97825690810927
sent,114.29858350847792
dispute,111.60198328109084
identity,108.59699688965371
received,108.46517212746316
bank,106.69263740514712
bureau,105.23013392879596
